,Protein_Group,Protein_Ids,Protein_Names,Genes,First_Protein_Description,Peptides,Q331K_M1,Q331K_M2,WT_M3,WT_M4
391,Q6P9K8;Q6P9K8-2;Q6P9K8-3,Q6P9K8;Q6P9K8-2;Q6P9K8-3;Q6P9K8-4,CSKI1-2_MOUSE;CSKI1-3_MOUSE;CSKI1_MOUSE,Caskin1,Caskin-1,1,0.0,77364.8,0.0,0.0
392,Q6PB75,Q6PB75;A0A0G2JDV2,PAPD7_MOUSE,Tent4a,Terminal nucleotidyltransferase 4A,1,352729.0,297390.0,578865.0,306535.0
393,Q6PDM2,Q6PDM2;F6QXN3;F7AI47;H7BX95;Q6PDM2-2;Q6PDM2-3,SRSF1_MOUSE,Srsf1,Serine/arginine-rich splicing factor 1,9,543878.0,451134.0,357215.0,708070.0
394,Q6PFD5,Q6PFD5;B1AS06,DLGP3_MOUSE,Dlgap3,Disks large-associated protein 3,2,90473.5,105979.0,0.0,135925.0
395,Q6PGN3;Q6PGN3-2;Q6PGN3-3;Q6PGN3-4;Q6PGN3-5;Q6PGN3-6,Q6PGN3;A0A0A6YWI6;A0A0A6YX33;A0A0A6YX71;Q6PGN3-2;Q6PGN3-3;Q6PGN3-4;Q6PGN3-5;Q6PGN3-6,DCLK2-2_MOUSE;DCLK2-3_MOUSE;DCLK2-4_MOUSE;DCLK2-5_MOUSE;DCLK2-6_MOUSE;DCLK2_MOUSE,Dclk2,Serine/threonine-protein kinase DCLK2,1,62432.9,36067.4,0.0,0.0
396,Q6PHZ2;Q6PHZ2-2;Q6PHZ2-4;Q6PHZ2-5,Q6PHZ2;A0A0G2JGS4;E9PXV3;E9Q1T1;E9Q1V9;E9Q1W0;F6RWZ9;Q6PHZ2-2;Q6PHZ2-4;Q6PHZ2-5,KCC2D-2_MOUSE;KCC2D-4_MOUSE;KCC2D-5_MOUSE;KCC2D_MOUSE,Camk2d,Calcium/calmodulin-dependent protein kinase type II subunit delta,4,186356.0,193764.0,70754.2,114495.0
397,Q6PIC6,Q6PIC6;A0A0G2JGX4;Q8VCE0,AT1A3_MOUSE,Atp1a3,Sodium/potassium-transporting ATPase subunit alpha-3,37,5463690.0,4418000.0,3575280.0,2592160.0
398,Q6PIE5,Q6PIE5;D3YYN7,AT1A2_MOUSE,Atp1a2,Sodium/potassium-transporting ATPase subunit alpha-2,9,741223.0,532264.0,459765.0,344244.0
399,Q6ZPZ3;Q6ZPZ3-2,Q6ZPZ3;A0A1B0GRU3;E9Q8K8;Q6ZPZ3-2,ZC3H4-2_MOUSE;ZC3H4_MOUSE,Zc3h4,Zinc finger CCCH domain-containing protein 4,7,226001.0,255011.0,0.0,241161.0
400,Q6ZQ38,Q6ZQ38,CAND1_MOUSE,Cand1,Cullin-associated NEDD8-dissociated protein 1,2,140594.0,130455.0,196453.0,148288.0
401,Q6ZWU9;Q6ZWY3,Q6ZWU9;Q6ZWY3;A0A0G2JDW7;A0A0G2JEX7,RS27L_MOUSE;RS27_MOUSE,Rps27;Rps27l,40S ribosomal protein S27,1,656954.0,424275.0,566423.0,453353.0
402,Q6ZWV7,Q6ZWV7,RL35_MOUSE,Rpl35,60S ribosomal protein L35,2,82770.2,87321.5,97599.3,168402.0
403,Q76MZ3,Q76MZ3,2AAA_MOUSE,Ppp2r1a,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,1,0.0,64206.3,0.0,0.0
404,Q792Z1,Q792Z1,Q792Z1_MOUSE,Try10,Peptidase S1 domain-containing protein,1,11414200.0,10196000.0,8660060.0,8409420.0
405,Q7TMK9;Q7TMK9-2,Q7TMK9;A0A0R4J259;G3UXJ6;G3UZ48;G3UZI2;G3V018;Q7TMK9-2,HNRPQ-2_MOUSE;HNRPQ_MOUSE,Syncrip,Heterogeneous nuclear ribonucleoprotein Q,1,37159.7,170644.0,154512.0,353233.0
406,Q7TMM9,Q7TMM9,TBB2A_MOUSE,Tubb2a,Tubulin beta-2A chain,1,7335240.0,5315090.0,5277560.0,3496080.0
407,Q7TN29;Q7TN29-2,Q7TN29;Q7TN29-2,SMAP2-2_MOUSE;SMAP2_MOUSE,Smap2,Stromal membrane-associated protein 2,2,94629.1,128521.0,0.0,116925.0
408,Q7TN98;Q7TN98-2;Q7TN98-3;Q7TN98-4;Q7TN98-5;Q7TN99;Q7TN99-2;Q7TN99-3;Q7TN99-4;Q7TN99-6;Q812E0,Q7TN98;Q7TN99;Q812E0;A0A0H2UH22;A0A0R4J102;D3Z1R6;D3Z5R9;E9Q5X2;E9Q969;F6T0J8;Q5SU47;Q5SU48;Q7TN98-2;Q7TN98-3;Q7TN98-4;Q7TN98-5;Q7TN99-2;Q7TN99-3;Q7TN99-4;Q7TN99-6,CPEB2_MOUSE;CPEB3-2_MOUSE;CPEB3-3_MOUSE;CPEB3-4_MOUSE;CPEB3-6_MOUSE;CPEB3_MOUSE;CPEB4-2_MOUSE;CPEB4-3_MOUSE;CPEB4-4_MOUSE;CPEB4-5_MOUSE;CPEB4_MOUSE,Cpeb2;Cpeb3;Cpeb4,Cytoplasmic polyadenylation element-binding protein 4,1,0.0,39892.0,0.0,0.0
409,Q7TNC4;Q7TNC4-2;Q7TNC4-3;Q7TNC4-4,Q7TNC4;E9Q715;Q05CX5;Q7TNC4-2;Q7TNC4-3;Q7TNC4-4,LC7L2-2_MOUSE;LC7L2-3_MOUSE;LC7L2-4_MOUSE;LC7L2_MOUSE,Luc7l2,Putative RNA-binding protein Luc7-like 2,14,1028620.0,1028560.0,1168640.0,860427.0
410,Q7TNE3,Q7TNE3,SPAG7_MOUSE,Spag7,Sperm-associated antigen 7,2,33072.1,73209.1,0.0,90439.0
411,Q7TNS7,Q7TNS7;D3YYS9,ASIC4_MOUSE,Asic4,Acid-sensing ion channel 4,1,97348.1,0.0,110160.0,74801.9
412,Q7TPC1,Q7TPC1,CDSN_MOUSE,Cdsn,Corneodesmosin,1,1268420.0,1155850.0,1094120.0,1914400.0
413,Q7TQD2,Q7TQD2,TPPP_MOUSE,Tppp,Tubulin polymerization-promoting protein,4,788679.0,664198.0,389449.0,570582.0
414,Q7TQF7,Q7TQF7;A0A0G2JEG8;A0A668KM31,AMPH_MOUSE,Amph,Amphiphysin,7,389467.0,516878.0,379800.0,340453.0
415,Q7TQH0;Q7TQH0-2;Q7TQH0-3,Q7TQH0;A0A0U1RPL0;E9Q5Q0;Q3TGG2;Q7TQH0-2;Q7TQH0-3,ATX2L-2_MOUSE;ATX2L-3_MOUSE;ATX2L_MOUSE,Atxn2l,Ataxin-2-like protein,3,0.0,128719.0,0.0,108218.0
416,Q7TSC1,Q7TSC1;G3UX48,PRC2A_MOUSE,Prrc2a,Protein PRRC2A,7,259263.0,376789.0,0.0,288473.0
417,Q7TSF1,Q61495;Q7TSF0;Q7TSF1;Q7TSF0-2,DSG1B_MOUSE,Dsg1b,Desmoglein-1-beta,4,480083.0,522356.0,465688.0,723247.0
418,Q7TSJ2,Q7TSJ2;D3Z6W1;Q7TSJ2-2,MAP6_MOUSE,Map6,Microtubule-associated protein 6,46,4291640.0,6882120.0,929312.0,3526160.0
419,Q7TSY6;Q7TSY6-2;Q7TSY6-3;Q7TSY6-4;Q7TSY6-5;Q7TSY6-6,A0A5F8MPH2;Q7TSY6;D3Z4C5;D3Z4K9;D3Z4T1;D3Z580;D3Z588;Q7TSY6-2;Q7TSY6-3;Q7TSY6-4;Q7TSY6-5;Q7TSY6-6,CELF4-2_MOUSE;CELF4-3_MOUSE;CELF4-4_MOUSE;CELF4-5_MOUSE;CELF4-6_MOUSE;CELF4_MOUSE,Celf4,CUGBP Elav-like family member 4,2,59912.6,38269.0,0.0,73923.6
420,Q80SW1,Q80SW1,SAHH2_MOUSE,Ahcyl1,S-adenosylhomocysteine hydrolase-like protein 1,5,322647.0,369732.0,265839.0,490293.0
421,Q80SY5,Q80SY5;A0A0G2JEW4;A0A0G2JGW4,PR38B_MOUSE,Prpf38b,Pre-mRNA-splicing factor 38B,4,299649.0,152043.0,221933.0,253232.0
422,Q80TE7,Q80TE7;A0A0G2JDT9;A0A0G2JFZ5;A0A571BEA5;B9EHV0;E9Q6L9,LRRC7_MOUSE,Lrrc7,Leucine-rich repeat-containing protein 7,1,0.0,58683.8,0.0,0.0
423,Q80TJ1;Q80TJ1-2;Q80TJ1-4,Q80TJ1;A0A286YDH6;J3QJW3;K4DI76;Q80TJ1-2;Q80TJ1-4,CAPS1-2_MOUSE;CAPS1-4_MOUSE;CAPS1_MOUSE,Cadps,Calcium-dependent secretion activator 1,9,231145.0,218331.0,0.0,174161.0
424,Q80TZ3;Q80TZ3-2;Q80TZ3-3,Q80TZ3;B1B0B7;B1B0B8;Q80TZ3-2;Q80TZ3-3,AUXI-2_MOUSE;AUXI-3_MOUSE;AUXI_MOUSE,Dnajc6,Putative tyrosine-protein phosphatase auxilin,9,193428.0,304153.0,154898.0,169893.0
425,Q80U28;Q80U28-14;Q80U28-15;Q80U28-2;Q80U28-3,Q80U28;A0A0R4J1F4;A2AGQ4;A2AGQ6;A2AGR0;E9QN47;Q80U28-14;Q80U28-15;Q80U28-2;Q80U28-3,MADD-14_MOUSE;MADD-15_MOUSE;MADD-2_MOUSE;MADD-3_MOUSE;MADD_MOUSE,Madd,MAP kinase-activating death domain protein,3,271409.0,236721.0,0.0,203732.0
426,Q80U40;Q80U40-2,Q80U40;A0A0G2JFB0;A0A0G2JGW5;A0A571BDA2;D3YXR8;Q80U40-2,RIMB2-2_MOUSE;RIMB2_MOUSE,Rimbp2,RIMS-binding protein 2,1,0.0,69908.2,0.0,0.0
427,Q80W00;Q80W00-2,Q80W00;Q80W00-2,PP1RA-2_MOUSE;PP1RA_MOUSE,Ppp1r10,Serine/threonine-protein phosphatase 1 regulatory subunit 10,6,210532.0,219571.0,0.0,199323.0
428,Q80W14;Q80W14-3,Q80W14;A0A0R4J1S2;D3Z4N6;E9QP07;F6XW22;Q80W14-3,PR40B-3_MOUSE;PR40B_MOUSE,Prpf40b,Pre-mRNA-processing factor 40 homolog B,17,952113.0,972043.0,137281.0,933718.0
429,Q80WJ7,Q80WJ7;E9PUX0;F6QFT1;F6QHD1;F6ZQL0,LYRIC_MOUSE,Mtdh,Protein LYRIC,3,312729.0,387307.0,199119.0,396662.0
430,Q80X50;Q80X50-2;Q80X50-3;Q80X50-4;Q80X50-5,Q80X50;A0A0G2JDT1;A0A0G2JDV6;A0A0G2JE24;A0A0G2JG47;A0A0G2JGD0;A0A0H2UH17;Q80X50-2;Q80X50-3;Q80X50-4;Q80X50-5,UBP2L-2_MOUSE;UBP2L-3_MOUSE;UBP2L-4_MOUSE;UBP2L-5_MOUSE;UBP2L_MOUSE,Ubap2l,Ubiquitin-associated protein 2-like,3,46677.9,90039.9,0.0,27821.4
431,Q80X90;Q8BTM8;Q8BTM8-2;Q8VHX6;Q8VHX6-2,Q80X90;Q8BTM8;Q8VHX6;B7FAU9;B7FAV1;F6XC15;Q8BTM8-2;Q8VHX6-2,FLNA-2_MOUSE;FLNA_MOUSE;FLNB_MOUSE;FLNC-2_MOUSE;FLNC_MOUSE,Flna;Flnb;Flnc,Filamin-B,1,423261.0,488576.0,0.0,0.0
432,Q80X98,Q80X98,Q80X98_MOUSE,Dhx38,RNA helicase,1,0.0,79775.3,0.0,140237.0
433,Q80XI3;Q80XI3-2;Q80XI3-3;Q80XI3-4,Q80XI3;A0A0N4SVL0;A0A0R4J112;A2AMI2;A2AMI6;Q80XI3-2;Q80XI3-3;Q80XI3-4;Z4YKC4,IF4G3-2_MOUSE;IF4G3-3_MOUSE;IF4G3-4_MOUSE;IF4G3_MOUSE,Eif4g3,Eukaryotic translation initiation factor 4 gamma 3,3,96573.2,127650.0,0.0,49811.3
434,Q80XN0,Q80XN0;D3Z2Y8,BDH_MOUSE,Bdh1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",2,302959.0,185870.0,175073.0,75648.1
435,Q80XU3,Q80XU3;A0A087WRY3,NUCKS_MOUSE,Nucks1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,1,331038.0,389261.0,333703.0,432080.0
436,Q80Z38;Q80Z38-2;Q80Z38-3,Q80Z38;A0A1C7ZMY3;A0A1L1SQP7;A0A6I8MWY3;D3Z5K8;Q80Z38-2;Q80Z38-3,SHAN2-2_MOUSE;SHAN2-3_MOUSE;SHAN2_MOUSE,Shank2,SH3 and multiple ankyrin repeat domains protein 2,6,192886.0,273999.0,0.0,154395.0
437,Q80ZM5,Q80ZM5,Q80ZM5_MOUSE,H1f10,H15 domain-containing protein,1,152536.0,151617.0,80842.1,172773.0
438,Q810A7,Q810A7;Q810A7-2,DDX42_MOUSE,Ddx42,ATP-dependent RNA helicase DDX42,11,338953.0,394808.0,511046.0,484438.0
439,Q8BFR5,Q8BFR5;Q8BFR5-2,EFTU_MOUSE,Tufm,"Elongation factor Tu, mitochondrial",12,985084.0,831164.0,631569.0,390033.0
440,Q8BG05,Q8BG05;A2AL12;Q8BG05-2,ROA3_MOUSE,Hnrnpa3,Heterogeneous nuclear ribonucleoprotein A3,12,5283120.0,4035720.0,578849.0,5793390.0
441,Q8BG39,Q8BG39,SV2B_MOUSE,Sv2b,Synaptic vesicle glycoprotein 2B,2,192015.0,91389.9,0.0,43964.3
442,Q8BG95;Q9DBR7;Q9DBR7-2,Q8BG95;Q9DBR7;A0A1W2P750;A6H644;Q9DBR7-2,MYPT1-2_MOUSE;MYPT1_MOUSE;MYPT2_MOUSE,Ppp1r12a;Ppp1r12b,Protein phosphatase 1 regulatory subunit 12B,1,132729.0,50511.7,126095.0,67074.2
443,Q8BGD9,Q8BGD9,IF4B_MOUSE,Eif4b,Eukaryotic translation initiation factor 4B,2,219162.0,366734.0,0.0,237165.0
444,Q8BGT8;Q8K0S0,Q8BGT8;Q8K0S0;F7D3N3,PHIPL_MOUSE;PHYIP_MOUSE,Phyhip;Phyhipl,Phytanoyl-CoA hydroxylase-interacting protein-like,2,110189.0,147627.0,94843.5,74406.5
445,Q8BGZ2;Q8BGZ2-2,Q8BGZ2;A0A140LIJ1;Q8BGZ2-2,F168A-2_MOUSE;F168A_MOUSE,Fam168a,Protein FAM168A,1,43937.4,46205.2,0.0,27230.8
446,Q8BH59,Q8BH59;V9GXX9,CMC1_MOUSE,Slc25a12,Calcium-binding mitochondrial carrier protein Aralar1,18,763471.0,353973.0,382133.0,291768.0
447,Q8BI72,Q8BI72;A0A1I7Q4A1,CARF_MOUSE,Cdkn2aip,CDKN2A-interacting protein,5,185349.0,245663.0,0.0,247619.0
448,Q8BIF2;Q8BIF2-2;Q8BIF2-4;Q8BIF2-5,Q8BIF2;Q8BP71;Q9JJ43;A0A2I3BR20;A0A2I3BRA9;A0A2I3BRU6;A0A2K6EDK7;A0A2R8VI79;A0A2R8VK79;A0A2R8W6K5;A2A4W9;Q8BIF2-2;Q8BIF2-3;Q8BIF2-4;Q8BIF2-5;Q8BP71-2;Q8BP71-3;Q8BP71-4;Q8BP71-5;Q8BP71-6;Q8BP71-7;Q8BP71-8;Q9JJ43-2;Q9JJ43-3;Q9JJ43-4;Q9JJ43-5;Q9JJ43-6;Q9JJ43-7,RFOX3-2_MOUSE;RFOX3-4_MOUSE;RFOX3-5_MOUSE;RFOX3_MOUSE,Rbfox3,RNA binding protein fox-1 homolog 3,6,633007.0,558011.0,0.0,525396.0
449,Q8BIQ5;Q8BIQ5-2,Q8BIQ5;A2AEJ8;A2AEK1;Q8BIQ5-2,CSTF2-2_MOUSE;CSTF2_MOUSE,Cstf2,Cleavage stimulation factor subunit 2,5,419540.0,452014.0,28774.5,411219.0
450,Q8BJ05;Q8BJ05-2;Q8BJ05-3,Q8BJ05;A0A1Y7VJD9;A0A1Y7VK20;Q8BJ05-2;Q8BJ05-3,ZC3HE-2_MOUSE;ZC3HE-3_MOUSE;ZC3HE_MOUSE,Zc3h14,Zinc finger CCCH domain-containing protein 14,2,37896.5,0.0,0.0,39184.3
451,Q8BJH1,Q8BJH1,ZC21A_MOUSE,Zc2hc1a,Zinc finger C2HC domain-containing protein 1A,2,169681.0,213504.0,0.0,83305.8
452,Q8BK64,Q8BK64,AHSA1_MOUSE,Ahsa1,Activator of 90 kDa heat shock protein ATPase homolog 1,5,407322.0,244618.0,215226.0,173279.0
453,Q8BK67,Q8BK67,RCC2_MOUSE,Rcc2,Protein RCC2,2,53734.4,0.0,65138.7,48509.9
454,Q8BKI2,Q8BKI2;Q8BKI2-2,TNR6B_MOUSE,Tnrc6b,Trinucleotide repeat-containing gene 6B protein,6,106037.0,163932.0,0.0,108193.0
455,Q8BL97;Q8BL97-2;Q8BL97-3;Q8BL97-4,Q8BL97;A0A3Q4EGP0;A0A3Q4EH04;A0A3Q4L335;A0A3Q4L393;Q8BL97-2;Q8BL97-3;Q8BL97-4,SRSF7-2_MOUSE;SRSF7-3_MOUSE;SRSF7-4_MOUSE;SRSF7_MOUSE,Srsf7,Serine/arginine-rich splicing factor 7,2,329776.0,209772.0,271333.0,306472.0
456,Q8BP67,Q8BP67,RL24_MOUSE,Rpl24,60S ribosomal protein L24,5,340858.0,246983.0,229624.0,640100.0
457,Q8BP71;Q8BP71-2;Q8BP71-3;Q8BP71-5;Q8BP71-6;Q8BP71-7;Q8BP71-8;Q9JJ43;Q9JJ43-2;Q9JJ43-3;Q9JJ43-4;Q9JJ43-5;Q9JJ43-6,Q8BP71;Q9JJ43;A0A2I3BRA9;A0A2I3BRU6;A0A2K6EDK7;A0A2R8VI79;A0A2R8VK79;A0A2R8W6K5;Q8BP71-2;Q8BP71-3;Q8BP71-5;Q8BP71-6;Q8BP71-7;Q8BP71-8;Q9JJ43-2;Q9JJ43-3;Q9JJ43-4;Q9JJ43-5;Q9JJ43-6,RFOX1-2_MOUSE;RFOX1-3_MOUSE;RFOX1-4_MOUSE;RFOX1-5_MOUSE;RFOX1-6_MOUSE;RFOX1_MOUSE;RFOX2-2_MOUSE;RFOX2-3_MOUSE;RFOX2-5_MOUSE;RFOX2-6_MOUSE;RFOX2-7_MOUSE;RFOX2-8_MOUSE;RFOX2_MOUSE,Rbfox1;Rbfox2,RNA binding protein fox-1 homolog 2,3,400291.0,391264.0,0.0,350802.0
458,Q8BPN8;Q8BPN8-2,Q8BPN8;B0V2P5;F6RYL8;Q8BPN8-2,DMXL2-2_MOUSE;DMXL2_MOUSE,Dmxl2,DmX-like protein 2,6,174137.0,267167.0,0.0,152267.0
459,Q8BRT1,Q8BRT1;E9Q8N5;F7DCH5;Q08EB5;Q08EB6,CLAP2_MOUSE,Clasp2,CLIP-associating protein 2,14,328037.0,417188.0,91371.3,232550.0
460,Q8BSF4,Q8BSF4;A0A0G2JEL6;D3YY63;D3Z0X7;E9PX91;F6TVX7;F7C386,PISD_MOUSE,Pisd,"Phosphatidylserine decarboxylase proenzyme, mitochondrial",1,100998.0,114963.0,84957.8,77601.7
461,Q8BSZ2,Q8BSZ2,AP3S2_MOUSE,Ap3s2,AP-3 complex subunit sigma-2,2,151962.0,180496.0,129852.0,129252.0
462,Q8BTF8,Q8BTF8;A0A1D5RLK6;A0A1D5RLM5;A0A1D5RMF0,RALYL_MOUSE,Ralyl,RNA-binding Raly-like protein,1,27833.1,0.0,0.0,49636.8
463,Q8BTI8;Q8BTI8-3,Q8BTI8;Q8BTI8-2;Q8BTI8-3,SRRM2-3_MOUSE;SRRM2_MOUSE,Srrm2,Serine/arginine repetitive matrix protein 2,31,639442.0,710681.0,179924.0,512634.0
464,Q8BTV2;Q8BTV2-2,Q8BTV2;Q8BTV2-2;Q8BTV2-3,CPSF7-2_MOUSE;CPSF7_MOUSE,Cpsf7,Cleavage and polyadenylation specificity factor subunit 7,12,796980.0,899942.0,81759.5,885065.0
465,Q8BUV3,Q8BUV3;A0JNY3,GEPH_MOUSE,Gphn,Gephyrin,3,123980.0,144004.0,0.0,55182.8
466,Q8BVE3,Q8BVE3;A0A0A6YWP6;A0A0A6YX18,VATH_MOUSE,Atp6v1h,V-type proton ATPase subunit H,4,146298.0,93319.8,94026.1,73245.5
467,Q8BWF0,Q8BWF0,SSDH_MOUSE,Aldh5a1,"Succinate-semialdehyde dehydrogenase, mitochondrial",1,60386.7,71193.2,118697.0,0.0
468,Q8BXJ8;Q8BXJ8-2,Q8BXJ8;G5E8Y8;Q8BXJ8-2,Z385B-2_MOUSE;Z385B_MOUSE,Znf385b,Zinc finger protein 385B,1,80044.5,48789.5,0.0,87558.6
469,Q8BYK8,Q8BYK8;A2AP88,ZC3H6_MOUSE,Zc3h6,Zinc finger CCCH domain-containing protein 6,1,190945.0,221938.0,0.0,0.0
470,Q8BZA9,Q8BZA9,TIGAR_MOUSE,Tigar,"Fructose-2,6-bisphosphatase TIGAR",2,92492.7,80356.5,0.0,122485.0
471,Q8BZX4-2,Q8BZX4;A0A1B0GSB4;A0A1B0GSR3;Q8BZX4-2,SREK1-2_MOUSE,Srek1,"Isoform of Q8BZX4, Isoform 2 of Splicing regulatory glutamine/lysine-rich protein 1",5,3949940.0,3671590.0,3379880.0,4633110.0
472,Q8C0M9,Q8C0M9,ASGL1_MOUSE,Asrgl1,Isoaspartyl peptidase/L-asparaginase,1,0.0,87598.4,0.0,58194.7
473,Q8C181;Q8C181-4,Q8C181;Q9JKP5;A0A0A6YVV8;A0A0A6YWB0;A0A0A6YXE3;A0A0A6YXP3;A0A2K6EDM5;G3X9Q0;Q8C181-2;Q8C181-3;Q8C181-4,MBNL2-4_MOUSE;MBNL2_MOUSE,Mbnl2,Muscleblind-like protein 2,5,1053080.0,1231690.0,109663.0,1126780.0
474,Q8C2Q3,Q8C2Q3,RBM14_MOUSE,Rbm14,RNA-binding protein 14,22,2312220.0,3339770.0,341716.0,2628580.0
475,Q8C3F2;Q8C3F2-3,Q8C3F2;Q8C3F2-2;Q8C3F2-3,F120C-3_MOUSE;F120C_MOUSE,Fam120c,Constitutive coactivator of PPAR-gamma-like protein 2,2,93237.2,144205.0,0.0,104750.0
476,Q8C419,Q8C419,GP158_MOUSE,Gpr158,Probable G-protein coupled receptor 158,3,104770.0,134693.0,0.0,71391.9
477,Q8C437;Q8C437-3;Q8C437-4,Q8C437;D3YYH0;F8SLP9;F8SLQ1;F8SLQ3;Q8C437-3;Q8C437-4,PEX5R-3_MOUSE;PEX5R-4_MOUSE;PEX5R_MOUSE,Pex5l,PEX5-related protein,1,0.0,72537.0,0.0,0.0
478,Q8C460;Q8C460-2;Q8C460-3,Q8C460;A0A0R4J1R9;Q8C460-2;Q8C460-3,ERI3-2_MOUSE;ERI3-3_MOUSE;ERI3_MOUSE,Eri3,ERI1 exoribonuclease 3,1,64107.4,54069.0,0.0,0.0
479,Q8C5P7,Q8C5P7,TDRP_MOUSE,Tdrp,Testis development-related protein,3,102469.0,160158.0,0.0,211546.0
480,Q8C7E9,Q8C7E9,CSTFT_MOUSE,Cstf2t,Cleavage stimulation factor subunit 2 tau variant,2,166179.0,248613.0,0.0,148908.0
481,Q8C854;Q8C854-3,Q8C854;A2ATP5;A2ATP6;F6XJA1;G8JL68;Q8C854-1;Q8C854-2;Q8C854-3,MYEF2-3_MOUSE;MYEF2_MOUSE,Myef2,Myelin expression factor 2,11,1127340.0,1269310.0,274367.0,927467.0
482,Q8C8R3-2,Q8C8R3;Q8JZQ2;Q8C8R3-2;Q8C8R3-4;S4R1J9;S4R2F3;S4R2T7,ANK2-2_MOUSE,Ank2,"Isoform of Q8C8R3, Isoform 2 of Ankyrin-2",11,298238.0,410678.0,453112.0,279918.0
483,Q8C9B9,Q8C9B9,DIDO1_MOUSE,Dido1,Death-inducer obliterator 1,3,52900.0,124741.0,0.0,86525.4
484,Q8CA95;Q8CA95-2;Q8CA95-3;Q8CA95-4,Q8CA95;A0A384DV92;A0A3B2W3N3;F8WHK3;Q8CA95-2;Q8CA95-3;Q8CA95-4,PDE10-2_MOUSE;PDE10-3_MOUSE;PDE10-4_MOUSE;PDE10_MOUSE,Pde10a,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",3,179941.0,263798.0,0.0,131817.0
485,Q8CBE3,Q8CBE3,WDR37_MOUSE,Wdr37,WD repeat-containing protein 37,3,63151.3,35024.1,0.0,29451.7
486,Q8CC35;Q8CC35-2;Q8CC35-3,Q8CC35;E9Q3E2;Q8CC35-2;Q8CC35-3,SYNPO-2_MOUSE;SYNPO-3_MOUSE;SYNPO_MOUSE,Synpo,Synaptopodin,6,114984.0,223744.0,0.0,80714.9
487,Q8CCN5;Q8CCN5-2,Q8CCN5;B1AR74;Q0VF62;Q8CCN5-2,BCAS3-2_MOUSE;BCAS3_MOUSE,Bcas3,Breast carcinoma-amplified sequence 3 homolog,1,53313.9,94389.0,0.0,0.0
488,Q8CCT4,Q8CCT4;Q8R0A5;Q9DB24;A2AEC2,TCAL5_MOUSE,Tceal5,Transcription elongation factor A protein-like 5,5,822926.0,775431.0,114071.0,873418.0
489,Q8CDG3,Q8CDG3;A0A0R4J0M9,VCIP1_MOUSE,Vcpip1,Deubiquitinating protein VCIP135,3,91050.9,98351.6,0.0,22681.7
490,Q8CGF7;Q8CGF7-2,Q8CGF7;Q8CGF7-2,TCRG1-2_MOUSE;TCRG1_MOUSE,Tcerg1,Transcription elongation regulator 1,16,968406.0,1251690.0,462956.0,1193020.0
491,Q8CGU1,Q8CGU1;A0A2R8VHU8;A0A2R8VKP5;E9Q7U2,CACO1_MOUSE,Calcoco1,Calcium-binding and coiled-coil domain-containing protein 1,1,654059.0,466188.0,856591.0,423740.0
492,Q8CGZ0,Q8CGZ0;A0A1D5RL92;G5E8I8,CHERP_MOUSE,Cherp,Calcium homeostasis endoplasmic reticulum protein,13,368744.0,413454.0,25803.8,383212.0
493,Q8CH09,Q8CH09;D3YVJ0;D3Z0I4,SUGP2_MOUSE,Sugp2,SURP and G-patch domain-containing protein 2,47,7041490.0,6060060.0,635046.0,5657750.0
494,Q8CH18;Q8CH18-3,Q8CH18;Q8CH18-3,CCAR1-3_MOUSE;CCAR1_MOUSE,Ccar1,Cell division cycle and apoptosis regulator protein 1,2,241788.0,295570.0,0.0,268784.0
495,Q8CHC4,Q8CHC4;D3Z1M7;D3Z656;E9Q7S0;F7BQW7,SYNJ1_MOUSE,Synj1,Synaptojanin-1,6,186975.0,373104.0,0.0,156748.0
496,Q8CHH9;Q8CHH9-2,Q8CHH9;B1AQY9;B1AQZ0;B7ZC46;Q8CHH9-2,SEPT8-2_MOUSE;SEPT8_MOUSE,Septin8,Septin-8,1,49856.8,0.0,0.0,0.0
497,Q8CHT1;Q8CHT1-2,Q8CHT1;E9QK62;Q8CHT1-2,NGEF-2_MOUSE;NGEF_MOUSE,Ngef,Ephexin-1,1,82941.9,58997.1,0.0,0.0
498,Q8CI94,Q8CI94;Q9ET01;Q9WUB3;E9PUM3;Q3UEJ6,PYGB_MOUSE,Pygb,"Glycogen phosphorylase, brain form",8,764911.0,638435.0,485333.0,347920.0
499,Q8CJ19;Q8CJ19-4,Q8CJ19;A0A1D5RM34;A0A5F8MPF3;A0A5F8MPN4;A0A5F8MPU7;Q8CJ19-4,MICA3-4_MOUSE;MICA3_MOUSE,Mical3,[F-actin]-monooxygenase MICAL3,1,0.0,58115.4,52000.4,0.0
500,Q8CJ67;Q8CJ67-2;Q8CJ67-3;Q8CJ67-4,Q8CJ67;D3Z6D2;E2QRQ3;Q8CJ67-2;Q8CJ67-3;Q8CJ67-4,STAU2-2_MOUSE;STAU2-3_MOUSE;STAU2-4_MOUSE;STAU2_MOUSE,Stau2,Double-stranded RNA-binding protein Staufen homolog 2,1,47980.2,33109.2,0.0,47079.2
501,Q8JZX4,Q8JZX4;A2AP40,SPF45_MOUSE,Rbm17,Splicing factor 45,9,477775.0,469052.0,109223.0,454465.0
